風林火山,ふうりんかざん,フウリンカザン
百鬼夜行,ひゃっきやこう,ひゃっきやぎょう,ヒャッキヤコウ,ヒャッキヤギョウ
三日天下,みっかてんか,みっかでんか,ミッカテンカ,ミッカデンカ
臥薪嘗胆,がしんしょうたん,ガシンショウタン
岡目八目,おかめはちもく,オカメハチモク
竜頭蛇尾,りゅうとうだび,りょうとうだび,リュウトウダビ,リョウトウダビ
三三五五,三々五々,さんさんごご,サンサンゴゴ
