あまおう,アマオウ
小豆,あずき,アズキ
ペタロイド,ぺたろいど,petaloid,Petaloid,PETALOID
300点,３００点,三百点,300,３００,三百,さんびゃくてん,サンビャクテン,さんびゃく,サンビャク
風の又三郎,かぜのまたさぶろう,カゼノマタサブロウ
